Region;Country;Sales_Reps;First _Name;Last _Name;Gender;Age;Rank _Levels;Stores;Products;Years;N_Months;Revenue;Months
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Assessories;2019;January;28636.32757;201901
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Tablets;2019;January;1245.208302;201901
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Smartphones;2019;January;641142.3407;201901
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Laptops;2019;January;41930.75681;201901
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Assessories;2019;January;34881.28532;201901
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Tablets;2019;January;19317.31247;201901
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Smartphones;2019;January;411208.7126;201901
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Laptops;2019;January;43735.57336;201901
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Assessories;2019;January;109135.4763;201901
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Tablets;2019;January;28291.94187;201901
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Smartphones;2019;January;28335.08868;201901
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Laptops;2019;January;6431.746502;201901
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Assessories;2019;January;25684.91306;201901
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Tablets;2019;January;5918.391759;201901
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Smartphones;2019;January;371283.4389;201901
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Laptops;2019;January;38225.51693;201901
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Assessories;2019;January;35084.93642;201901
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Tablets;2019;January;51726.16643;201901
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Smartphones;2019;January;518914.8641;201901
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Laptops;2019;January;69702.8426;201901
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Assessories;2019;January;160195.419;201901
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Tablets;2019;January;85398.44762;201901
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Smartphones;2019;January;135871.6621;201901
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Laptops;2019;January;8641.302421;201901
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Assessories;2019;January;40983.92108;201901
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Tablets;2019;January;5941.758103;201901
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Smartphones;2019;January;80094.66001;201901
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Laptops;2019;January;20261.2798;201901
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Assessories;2019;January;49415.19972;201901
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Tablets;2019;January;20769.34828;201901
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Smartphones;2019;January;258732.1848;201901
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Laptops;2019;January;12512.39962;201901
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Assessories;2019;January;6148.316664;201901
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Tablets;2019;January;10850.0056;201901
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Smartphones;2019;January;273236.0583;201901
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Laptops;2019;January;7631.81974;201901
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Assessories;2019;January;45383.01391;201901
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Tablets;2019;January;15752.42895;201901
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Smartphones;2019;January;252319.914;201901
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Laptops;2019;January;150592.0047;201901
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Assessories;2019;January;84283.58612;201901
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Tablets;2019;January;8074.795533;201901
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Smartphones;2019;January;209385.4411;201901
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Laptops;2019;January;37365.97577;201901
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Assessories;2019;January;18620.63643;201901
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Tablets;2019;January;5572.911599;201901
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Smartphones;2019;January;209859.0346;201901
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Laptops;2019;January;1917.809452;201901
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Assessories;2019;January;10469.45679;201901
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Tablets;2019;January;2780.039666;201901
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Smartphones;2019;January;416998.6228;201901
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Laptops;2019;January;10834.35186;201901
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Assessories;2019;January;64149.69296;201901
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Tablets;2019;January;5184.588157;201901
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Smartphones;2019;January;62007.39537;201901
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Laptops;2019;January;7908.779922;201901
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Assessories;2019;January;13648.89418;201901
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Tablets;2019;January;9667.34445;201901
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Smartphones;2019;January;356058.8534;201901
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Laptops;2019;January;75436.22449;201901
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Assessories;2019;January;91970.69223;201901
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Tablets;2019;January;17677.85821;201901
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Smartphones;2019;January;105197.4079;201901
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Laptops;2019;January;16159.31162;201901
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Assessories;2019;January;7103.38073;201901
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Tablets;2019;January;6700.608974;201901
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Smartphones;2019;January;184805.8387;201901
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Laptops;2019;January;15033.43697;201901
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Assessories;2019;January;49777.94422;201901
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Tablets;2019;January;16164.74739;201901
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Smartphones;2019;January;528900.4581;201901
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Laptops;2019;January;74902.4776;201901
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Assessories;2019;January;43162.77017;201901
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Tablets;2019;January;44163.05552;201901
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Smartphones;2019;January;91720.28853;201901
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Laptops;2019;January;47227.92244;201901
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Assessories;2019;January;7479.847648;201901
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Tablets;2019;January;32930.50298;201901
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Smartphones;2019;January;72520.63246;201901
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Laptops;2019;January;8086.385558;201901
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Assessories;2019;January;4616.713011;201901
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Tablets;2019;January;1129.871684;201901
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Smartphones;2019;January;596269.469;201901
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Laptops;2019;January;63269.11212;201901
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Assessories;2019;January;77197.04107;201901
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Tablets;2019;January;56473.5925;201901
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Smartphones;2019;February;696161.8292;201902
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Laptops;2019;February;111594.246;201902
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Assessories;2019;February;132871.9104;201902
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Tablets;2019;February;65101.96327;201902
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Smartphones;2019;February;26395.52824;201902
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Laptops;2019;February;9353.570992;201902
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Assessories;2019;February;19967.72057;201902
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Tablets;2019;February;589.4511575;201902
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Smartphones;2019;February;46087.1581;201902
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Laptops;2019;February;9357.315416;201902
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Assessories;2019;February;20421.51471;201902
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Tablets;2019;February;12782.28087;201902
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Smartphones;2019;February;128120.5993;201902
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Laptops;2019;February;17469.4861;201902
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Assessories;2019;February;24724.58068;201902
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Tablets;2019;February;2334.790218;201902
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Smartphones;2019;February;39289.65789;201902
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Laptops;2019;February;17450.3982;201902
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Assessories;2019;February;6186.607435;201902
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Tablets;2019;February;4027.402534;201902
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Smartphones;2019;February;1036320.524;201902
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Laptops;2019;February;106455.238;201902
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Assessories;2019;February;240842.8467;201902
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Tablets;2019;February;59187.80661;201902
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Smartphones;2019;February;132234.1382;201902
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Laptops;2019;February;19657.17723;201902
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Assessories;2019;February;41820.54715;201902
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Tablets;2019;February;9110.32533;201902
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Smartphones;2019;February;89554.86174;201902
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Laptops;2019;February;2926.47533;201902
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Assessories;2019;February;19088.93226;201902
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Tablets;2019;February;4146.456822;201902
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Smartphones;2019;February;93823.90575;201902
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Laptops;2019;February;20948.7809;201902
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Assessories;2019;February;62659.3968;201902
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Tablets;2019;February;7062.467034;201902
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Smartphones;2019;February;95880.44739;201902
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Laptops;2019;February;1571.323235;201902
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Assessories;2019;February;23766.46272;201902
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Tablets;2019;February;975.7070991;201902
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Smartphones;2019;February;396302.8223;201902
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Laptops;2019;February;46321.7889;201902
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Assessories;2019;February;131259.9151;201902
U.K.;England;Jansen B.;Jansen;Brown;Male;46;A1;Store 1;Tablets;2019;February;3801.119478;201902
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Smartphones;2019;February;70344.92574;201902
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Laptops;2019;February;10074.62223;201902
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Assessories;2019;February;12742.35266;201902
U.K.;England;Claire P.;Claire;Pullman;Female;38;B2;Store 4;Tablets;2019;February;9763.585413;201902
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Smartphones;2019;February;123471.5581;201902
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Laptops;2019;February;16168.45723;201902
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Assessories;2019;February;27212.82221;201902
U.K.;England;Simon W.;Simon;Walsh;Male;25;D5;Store 5;Tablets;2019;February;961.6162406;201902
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Smartphones;2019;February;459217.3982;201902
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Laptops;2019;February;28157.7629;201902
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Assessories;2019;February;34305.48786;201902
U.K.;Wales;Trevor P.;Trevor;Parr;Male;32;D4;Store 3;Tablets;2019;February;22680.95824;201902
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Smartphones;2019;February;367997.8969;201902
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Laptops;2019;February;18149.88156;201902
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Assessories;2019;February;24462.67824;201902
U.S.A.;Ohio;George C.;George;Campbell;Male;32;D4;Store 3;Tablets;2019;February;11378.01241;201902
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Smartphones;2019;February;73503.98782;201902
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Laptops;2019;February;1322.280906;201902
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Assessories;2019;February;3541.929431;201902
U.S.A.;Las Vegas;Emma J.;Emma;Jones;Female;28;D5;Store 5;Tablets;2019;February;1888.766263;201902
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Smartphones;2019;February;326109.3169;201902
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Laptops;2019;February;31837.92142;201902
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Assessories;2019;February;131834.9261;201902
U.S.A.;New York;Bryan K.;Bryan;Kingston;Male;27;A1;Store 1;Tablets;2019;February;9936.361017;201902
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Smartphones;2019;February;127641.3063;201902
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Laptops;2019;February;29164.83843;201902
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Assessories;2019;February;75606.84331;201902
Asia;Hong Kong;Louis N.;Louis;Ng;Male;44;A1;Store 1;Tablets;2019;February;52149.58118;201902
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Smartphones;2019;February;100142.6967;201902
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Laptops;2019;February;993.0524314;201902
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Assessories;2019;February;10766.96375;201902
Asia;Hong Kong;Winnie C.;Winnie;Cheung;Female;35;C3;Store 2;Tablets;2019;February;9205.173559;201902
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Smartphones;2019;February;69064.06013;201902
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Laptops;2019;February;1096.076095;201902
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Assessories;2019;February;32710.98505;201902
Asia;Hong Kong;Edson L.;Edson;Lau;Male;28;D5;Store 5;Tablets;2019;February;8090.057834;201902
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Smartphones;2019;February;139075.4341;201902
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Laptops;2019;February;11272.37972;201902
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Assessories;2019;February;27682.37664;201902
Asia;Japan;Toshiro T.;Toshiro;Takuji;Male;36;B2;Store 4;Tablets;2019;February;5855.6773;201902
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Smartphones;2019;February;128726.8379;201902
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Laptops;2019;February;11482.96664;201902
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Assessories;2019;February;6155.451574;201902
Asia;Japan;Yui M.;Yui;Matsuko;Female;32;D4;Store 3;Tablets;2019;February;8172.812669;201902
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Smartphones;2019;February;590169.47;201902
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Laptops;2019;February;12803.51505;201902
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Assessories;2019;February;132080.8718;201902
Asia;Singapore;Andrew T.;Andrew;Tan;Male;45;A1;Store 1;Tablets;2019;February;87318.60436;201902
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Smartphones;2019;February;176232.9719;201902
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Laptops;2019;February;19923.74277;201902
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Assessories;2019;February;16726.08922;201902
Asia;Singapore;Jason W.;Jason;Wong;Male;38;B2;Store 4;Tablets;2019;February;6449.056818;201902
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Smartphones;2019;February;50053.48843;201902
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Laptops;2019;February;6535.475933;201902
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Assessories;2019;February;14331.04358;201902
Asia;Singapore;Michelle L.;Michelle;Lim;Female;29;D5;Store 5;Tablets;2019;February;5038.943551;201902
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Smartphones;2019;February;158887.2112;201902
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Laptops;2019;February;30487.24322;201902
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Assessories;2019;February;6003.128267;201902
Asia;Taiwan;Dennis C.;Dennis;Cheng;Male;35;B2;Store 4;Tablets;2019;February;19367.21035;201902
Asia;Taiwan;Aaron C.;Aaron;Cheng;Male;32;D4;Store 3;Smartphones;2019;February;16921.51708;201902
